Mi28PRO MX25SWS032
Report For Lot - 5391241.1 - 
From : 10/4/2025 4:52:08 AM To : 10/4/2025 8:23:11 AM
Alarm Type Selection,Failure/ Assist
Total Operating Time,02:55:38
Total Idle Time,00:22:51
Total Setup Time,00:00:00
Total Alarm,2
Total Unplanned Downtime,00:12:34
Total Planned Downtime,00:00:00
MTBA,02:55:38
MTTA,00:12:34
MTBF,02:55:38
MTTR,00:12:34
MUBA,25027
Total Up Time,03:18:29
Total Down Time,00:12:34

Lot Summary,
,Quantity,Overall Yield,Previous Lot Dice,
Input Wafer Total,25027,,,
Rejected Dice,251,1.00 %,Overall Yield,
Tape & Reel B Total,24813,99.14 %,Quantity,
Reject Tray Total,0,,

Input Wafer Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,25020,99.97,99.97,
Empty Failed,5,0.02,0.02,
Others Failed,2,0.01,0.01,
Angle Failed,0,0.00,0.00,
Pitch Failed,0,0.00,0.00,
Chip Failed,0,0.00,0.00,
Contamination Failed,0,0.00,0.00,
Crack Failed,0,0.00,0.00,
Bump Failed,0,0.00,0.00,
Pad Failed,0,0.00,0.00,
Probe Mark Failed,0,0.00,0.00,
TOTAL,25027,,100.00,

Die Position 1 Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,25020,100.00,99.97,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,0,0.00,0.00,
TOTAL,25020,,99.97,

Die Position 2 Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,24847,100.00,99.28,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,0,0.00,0.00,
TOTAL,24847,,99.28,

Die Position 3 Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,25020,100.00,99.97,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,0,0.00,0.00,
TOTAL,25020,,99.97,

Die Position 4 Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,4,100.00,0.02,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,0,0.00,0.00,
TOTAL,4,,0.02,

Die Position 5 Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,25020,100.00,99.97,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,0,0.00,0.00,
TOTAL,25020,,99.97,

Bump Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,24831,99.72,99.22,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,12,0.05,0.05,
Die Sawn Failed,0,0.00,0.00,
Chip In Failed,29,0.12,0.12,
Chip Out Failed,0,0.00,0.00,
Contamination Failed,19,0.08,0.08,
Crack Failed,0,0.00,0.00,
Die Size Failed,0,0.00,0.00,
SubROI Failed,0,0.00,0.00,
Spec Failed,0,0.00,0.00,
Bump Failed,0,0.00,0.00,
Pad Failed,9,0.04,0.04,
TOTAL,24900,,99.49,

5S Sidewall Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,0,0.00,0.00,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,0,0.00,0.00,
Chip Failed,0,0.00,0.00,
Contamination Failed,0,0.00,0.00,
Crack Failed,0,0.00,0.00,
Bump Failed,0,0.00,0.00,
TOTAL,0,,0.00,

Pocket Position B Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,24813,100.00,99.14,
Others Failed,0,0.00,0.00,
TOTAL,24813,,99.14,

In Pocket B Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,24813,100.00,99.14,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,0,0.00,0.00,
Chip In Failed,0,0.00,0.00,
Chip Out Failed,0,0.00,0.00,
Contamination Failed,0,0.00,0.00,
Crack Failed,0,0.00,0.00,
Adhesive Failed,0,0.00,0.00,
Edge Failed,0,0.00,0.00,
Die Size Failed,0,0.00,0.00,
SubROI Failed,0,0.00,0.00,
Marking Failed,0,0.00,0.00,
Orientation Failed,0,0.00,0.00,
No Mark Failed,0,0.00,0.00,
2D Code Failed,0,0.00,0.00,
Copper Exposed Failed,0,0.00,0.00,
TOTAL,24813,,99.14,

Post Seal B Vision Yield,Quantity,
Empty Failed,0,
Others Failed,0,
Angle Failed,0,
Chip Failed,0,
Crack Failed,0,
Contamination Failed,0,
Marking Failed,0,
Top Layer Seal Broken,0,
Bottom Layer Seal Broken,0,
Both Layer Seal Broken,0,
Top Layer Seal Limit Exceeded,0,
Bottom Layer Seal Limit Exceeded,0,
Both Layer Seal Limit Exceeded,0,
Top Layer Seal Width Inconsistency,0,
Bottom Layer Seal Width Inconsistency,0,
Both Layer Seal Width Inconsistency,0,
Relative Seal Width Inconsistency,0,
TOTAL,0,

TopVision Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,24847,99.92,99.28,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Chip Failed,0,0.00,0.00,
Contamination Failed,0,0.00,0.00,
Crack Failed,0,0.00,0.00,
Marking Failed,3,0.01,0.01,
Discolouration Failed,0,0.00,0.00,
Copper Exposed Failed,16,0.06,0.06,
TOTAL,24866,,99.36,

3D Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,2480,99.92,9.91,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Bump Height Failed,2,0.08,0.01,
Warpage Failed,0,0.00,0.00,
Slanted Failed,0,0.00,0.00,
TOTAL,2482,,9.92,

Infrared Ray Vision Yield,Quantity,Yield (%),Overall Yield (%),
Passed,24866,99.38,99.36,
Empty Failed,0,0.00,0.00,
Others Failed,0,0.00,0.00,
Angle Failed,0,0.00,0.00,
Chip Failed,0,0.00,0.00,
