Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject,Output Mode,Invalid 3D,Invalid Mark,Invalid uCrack,BX,BY
4997378.1,1,SKY55446+REV1,2024/11/22 16:01:01,2024/11/22 20:10:53,,,,,,,,,
4997378.1,1,SKY55446+REV1,2024/11/22 16:01:01,2024/11/22 20:10:53,,,,,,,,,
4997378.1,6VTRX07,SKY55446+REV16,2024/11/22 16:01:01,2024/11/22 20:10:53,98.306%,12573,213,,28,0,1,0,0
4997378.1,1,SKY55446+REV1,2024/11/22 16:01:01,2024/11/22 21:03:36,,,,,,,,,
4997378.1,1,SKY55446+REV1,2024/11/22 16:01:01,2024/11/22 21:03:36,,,,,,,,,
4997378.1,6VTRX07,SKY55446+REV16,2024/11/22 16:01:01,2024/11/22 21:03:36,99.537%,12532,58,,26,0,0,0,0
4997378.1,1,SKY55446+REV1,2024/11/22 16:01:01,2024/11/22 19:52:10,,,,,,,,,
4997378.1,1,SKY55446+REV1,2024/11/22 16:01:01,2024/11/22 19:52:10,,,,,,,,,
4997378.1,6VTRX07,SKY55446+REV16,2024/11/22 16:01:01,2024/11/22 19:52:10,98.530%,12520,184,,1,0,1,0,0
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 12:42:03,,,,,,,,,
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 12:42:03,,,,,,,,,
4998473.1,6VTRX07,SKY55446+REV18,2024/11/26 09:35:09,2024/11/26 12:42:03,99.442%,13805,77,,0,2,4,0,0
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 14:12:16,,,,,,,,,
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 14:12:16,,,,,,,,,
4998473.1,6VTRX07,SKY55446+REV18,2024/11/26 09:35:09,2024/11/26 14:12:16,99.889%,15258,17,,0,1,0,0,0
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 15:50:13,,,,,,,,,
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 15:50:13,,,,,,,,,
4998473.1,6VTRX07,SKY55446+REV18,2024/11/26 09:35:09,2024/11/26 15:50:13,99.525%,17069,81,,4,0,1,0,0
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 17:12:58,,,,,,,,,
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 17:12:58,,,,,,,,,
4998473.1,6VTRX07,SKY55446+REV18,2024/11/26 09:35:09,2024/11/26 17:12:58,99.777%,17061,38,,7,0,0,0,0
4998473.1,,SKY55446+REV1,2024/11/26 09:35:09,2024/11/26 09:37:30,,,,,,,,,
4998473.1,6VTRX07,SKY55446+REV18,2024/11/26 09:35:09,2024/11/26 09:37:30,0.000%,0,0,,0,0,0,0,0
5010430.1,1,SKY55446+REV1,2024/11/21 13:30:53,2024/11/22 08:25:29,,,,,,,,,
5010430.1,1,SKY55446+REV1,2024/11/21 13:30:53,2024/11/22 08:25:29,,,,,,,,,
5010430.1,6VTRX07,SKY55446+REV15,2024/11/21 13:30:53,2024/11/22 08:25:29,98.232%,11707,207,,0,21,4,0,1
5010430.1,1,SKY55446+REV1,2024/11/21 13:30:53,2024/11/22 12:52:13,,,,,,,,,
5010430.1,1,SKY55446+REV1,2024/11/21 13:30:53,2024/11/22 12:52:13,,,,,,,,,
5010430.1,6VTRX07,SKY55446+REV16,2024/11/21 13:30:53,2024/11/22 12:52:13,97.252%,21140,581,,8,0,6,0,0
5010430.1,1,SKY55446+REV1,2024/11/21 13:30:53,2024/11/22 14:44:15,,,,,,,,,
5010430.1,1,SKY55446+REV1,2024/11/21 13:30:53,2024/11/22 14:44:15,,,,,,,,,
5010430.1,6VTRX07,SKY55446+REV16,2024/11/21 13:30:53,2024/11/22 14:44:15,98.865%,21152,240,,13,0,1,0,0
5010430.1,1,SKY55446+REV1,2024/11/21 13:30:53,2024/11/22 00:46:38,,,,,,,,,
5010430.1,1,SKY55446+REV1,2024/11/21 13:30:53,2024/11/22 00:46:38,,,,,,,,,
5010430.1,6VTRX07,SKY55446+REV15,2024/11/21 13:30:53,2024/11/22 00:46:38,98.293%,12125,207,,0,21,4,0,1
5010432.1,,SKY55446+REV1,2024/11/25 23:57:20,2024/11/26 09:32:59,,,,,,,,,
5010432.1,,SKY55446+REV1,2024/11/25 23:57:20,2024/11/26 09:32:59,,,,,,,,,
5010432.1,6VTRX07,SKY55446+REV18,2024/11/25 23:57:20,2024/11/26 09:32:59,99.771%,21402,49,,2,0,0,0,0
5010432.1,,SKY55446+REV1,2024/11/25 23:57:20,2024/11/26 07:59:04,,,,,,,,,
5010432.1,,SKY55446+REV1,2024/11/25 23:57:20,2024/11/26 07:59:04,,,,,,,,,
5010432.1,6VTRX07,SKY55446+REV18,2024/11/25 23:57:20,2024/11/26 07:59:04,98.789%,21299,258,,1,0,3,0,0
5013957.1,,SKY55446+REV1,2024/11/24 03:09:36,2024/11/24 13:54:00,,,,,,,,,
5013957.1,,SKY55446+REV1,2024/11/24 03:09:36,2024/11/24 13:54:00,,,,,,,,,
5013957.1,6VTRX07,SKY55446+REV16,2024/11/24 03:09:36,2024/11/24 13:54:00,95.591%,21458,946,,96,0,1,0,0
5013957.1,,SKY55446+REV1,2024/11/24 03:09:36,2024/11/24 14:21:04,,,,,,,,,
5013957.1,,SKY55446+REV1,2024/11/24 03:09:36,2024/11/24 14:21:04,,,,,,,,,
5013957.1,6VTRX07,SKY55446+REV16,2024/11/24 03:09:36,2024/11/24 14:21:04,99.059%,20835,196,,83,0,0,0,0
5013957.1,,SKY55446+REV1,2024/11/24 03:09:36,2024/11/24 11:18:28,,,,,,,,,
5013957.1,,SKY55446+REV1,2024/11/24 03:09:36,2024/11/24 11:18:28,,,,,,,,,
5013957.1,6VTRX07,SKY55446+REV16,2024/11/24 03:09:36,2024/11/24 11:18:28,82.706%,21482,3715,,57,3,6,0,0
5013957.2,,SKY55446+REV1,2024/11/25 03:34:42,2024/11/25 07:52:28,,,,,,,,,
5013957.2,,SKY55446+REV1,2024/11/25 03:34:42,2024/11/25 07:52:28,,,,,,,,,
5013957.2,6VTRX07,SKY55446+REV17,2024/11/25 03:34:42,2024/11/25 07:52:28,99.497%,9943,50,,19,0,0,0,0
5013957.2,,SKY55446+REV1,2024/11/25 03:34:42,2024/11/25 06:47:01,,,,,,,,,
5013957.2,,SKY55446+REV1,2024/11/25 03:34:42,2024/11/25 06:47:01,,,,,,,,,
5013957.2,6VTRX07,SKY55446+REV17,2024/11/25 03:34:42,2024/11/25 06:47:01,97.924%,9924,206,,117,4,3,0,0
5013959.1,,SKY55446+REV1,2024/11/25 09:04:42,2024/11/25 09:16:34,,,,,,,,,
5013959.1,,SKY55446+REV1,2024/11/25 09:04:42,2024/11/25 09:16:34,,,,,,,,,
5013959.1,6VTRX07,SKY55446+REV18,2024/11/25 09:04:42,2024/11/25 09:16:34,99.194%,869,7,,0,0,0,0,0
5013959.2,,SKY55446+REV1,2024/11/25 10:27:52,2024/11/25 17:06:03,,,,,,,,,
5013959.2,,SKY55446+REV1,2024/11/25 10:27:52,2024/11/25 17:06:03,,,,,,,,,
5013959.2,6VTRX07,SKY55446+REV18,2024/11/25 10:27:52,2024/11/25 17:06:03,99.564%,21545,94,,5,0,1,0,0
5013959.2,,SKY55446+REV1,2024/11/25 10:27:52,2024/11/25 17:14:44,,,,,,,,,
5013959.2,,SKY55446+REV1,2024/11/25 10:27:52,2024/11/25 17:14:44,,,,,,,,,
5013959.2,6VTRX07,SKY55446+REV18,2024/11/25 10:27:52,2024/11/25 17:14:44,100.000%,21451,0,,0,0,0,0,0
5013959.2,,SKY55446+REV1,2024/11/25 10:27:52,2024/11/25 16:36:33,,,,,,,,,
5013959.2,,SKY55446+REV1,2024/11/25 10:27:52,2024/11/25 16:36:33,,,,,,,,,
5013959.2,6VTRX07,SKY55446+REV18,2024/11/25 10:27:52,2024/11/25 16:36:33,98.750%,21524,269,,5,2,1,0,0
5013961.1,,SKY55446+REV1,2024/11/23 16:45:40,2024/11/24 02:10:40,,,,,,,,,
5013961.1,,SKY55446+REV1,2024/11/23 16:45:40,2024/11/24 02:10:40,,,,,,,,,
5013961.1,6VTRX07,SKY55446+REV16,2024/11/23 16:45:40,2024/11/24 02:10:40,99.211%,21289,168,,9,0,0,0,0
5013961.1,1,SKY55446+REV1,2024/11/23 16:45:40,2024/11/23 17:15:05,,,,,,,,,
5013961.1,6VTRX07,SKY55446+REV16,2024/11/23 16:45:40,2024/11/23 17:15:05,100.000%,54,0,,0,0,0,0,0
5013963.1,,SKY55446+REV1,2024/11/25 17:28:32,2024/11/25 23:30:35,,,,,,,,,
5013963.1,,SKY55446+REV1,2024/11/25 17:28:32,2024/11/25 23:30:35,,,,,,,,,
5013963.1,6VTRX07,SKY55446+REV18,2024/11/25 17:28:32,2024/11/25 23:30:35,98.336%,17067,284,,1,0,0,0,0
5013963.1,,SKY55446+REV1,2024/11/25 17:28:32,2024/11/25 22:06:33,,,,,,,,,
5013963.1,,SKY55446+REV1,2024/11/25 17:28:32,2024/11/25 22:06:33,,,,,,,,,
5013963.1,6VTRX07,SKY55446+REV18,2024/11/25 17:28:32,2024/11/25 22:06:33,96.688%,17057,565,,1,1,1,0,0
5013965.1,,SKY55446+REV1,2024/11/24 20:00:48,2024/11/25 03:22:46,,,,,,,,,
5013965.1,,SKY55446+REV1,2024/11/24 20:00:48,2024/11/25 03:22:46,,,,,,,,,
5013965.1,6VTRX07,SKY55446+REV17,2024/11/24 20:00:48,2024/11/25 03:22:46,99.856%,21515,31,,0,0,0,0,0
5013965.1,,SKY55446+REV1,2024/11/24 20:00:48,2024/11/25 01:21:12,,,,,,,,,
5013965.1,,SKY55446+REV1,2024/11/24 20:00:48,2024/11/25 01:21:12,,,,,,,,,
5013965.1,6VTRX07,SKY55446+REV17,2024/11/24 20:00:48,2024/11/25 01:21:12,99.367%,21492,136,,1,1,4,0,0
5013968.1,1,SKY55446+REV1,2024/11/22 21:35:05,2024/11/23 11:28:59,,,,,,,,,
5013968.1,1,SKY55446+REV1,2024/11/22 21:35:05,2024/11/23 11:28:59,,,,,,,,,
5013968.1,6VTRX07,SKY55446+REV16,2024/11/22 21:35:05,2024/11/23 11:28:59,99.598%,21413,86,,16,3,4,0,0
5013968.1,1,SKY55446+REV1,2024/11/22 21:35:05,2024/11/23 12:19:24,,,,,,,,,
5013968.1,1,SKY55446+REV1,2024/11/22 21:35:05,2024/11/23 12:19:24,,,,,,,,,
5013968.1,6VTRX07,SKY55446+REV16,2024/11/22 21:35:05,2024/11/23 12:19:24,99.842%,21535,34,,2,0,0,0,0
5013968.1,1,SKY55446+REV1,2024/11/22 21:35:05,2024/11/23 04:39:49,,,,,,,,,
5013968.1,1,SKY55446+REV1,2024/11/22 21:35:05,2024/11/23 04:39:49,,,,,,,,,
5013968.1,6VTRX07,SKY55446+REV16,2024/11/22 21:35:05,2024/11/23 04:39:49,40.263%,6624,3957,,0,0,2,0,0
5013973.1,,SKY55446+REV1,2024/11/24 14:48:02,2024/11/24 18:51:00,,,,,,,,,
5013973.1,,SKY55446+REV1,2024/11/24 14:48:02,2024/11/24 18:51:00,,,,,,,,,
5013973.1,6VTRX07,SKY55446+REV17,2024/11/24 14:48:02,2024/11/24 18:51:00,95.679%,17011,735,,8,5,1,0,0
5013973.1,,SKY55446+REV1,2024/11/24 14:48:02,2024/11/24 19:41:44,,,,,,,,,
5013973.1,,SKY55446+REV1,2024/11/24 14:48:02,2024/11/24 19:41:44,,,,,,,,,
5013973.1,6VTRX07,SKY55446+REV17,2024/11/24 14:48:02,2024/11/24 19:41:44,99.607%,17031,67,,12,0,0,0,0
5013973.1,,SKY55446+REV1,2024/11/24 14:48:02,2024/11/24 14:50:07,,,,,,,,,
5013973.1,6VTRX07,SKY55446+REV16,2024/11/24 14:48:02,2024/11/24 14:50:07,0.000%,0,0,,0,0,0,0,0
NO RETEST,1,SKY55446+REV14_TEST ONL,2024/11/20 10:13:08,2024/11/20 10:26:55,,,,,,,,,
NO RETEST,1,SKY55446+REV14_TEST ONL,2024/11/20 10:13:08,2024/11/20 10:26:55,,,,,,,,,
NO RETEST,6VTRX07,SKY55446+REV14_TEST ONLY,2024/11/20 10:13:08,2024/11/20 10:26:55,89.688%,640,66,,18,0,0,0,0
NORETEST,1,SKY55446+REV14_TEST ONL,2024/11/21 11:17:10,2024/11/21 11:33:28,,,,,,,,,
NORETEST,1,SKY55446+REV14_TEST ONL,2024/11/21 11:17:10,2024/11/21 11:33:28,,,,,,,,,
