Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
32493550.2,,SKY55446+REV,2024/10/04 02:21:18,2024/10/04 02:56:17,,,
32493550.2,6VTRX07,SKY55446+REV1,2024/10/04 02:21:18,2024/10/04 02:56:17,100.000%,52,0
32493550.3,,SKY55446+REV,2024/10/04 03:03:36,2024/10/04 03:23:01,,,
32493550.3,,SKY55446+REV,2024/10/04 03:03:36,2024/10/04 03:23:01,,,
32493550.3,6VTRX07,SKY55446+REV1,2024/10/04 03:03:36,2024/10/04 03:23:01,100.000%,47,0
32493550.4,,SKY55446+REV,2024/10/04 03:33:05,2024/10/04 03:35:49,,,
32493550.4,6VTRX07,SKY55446+REV1,2024/10/04 03:33:05,2024/10/04 03:35:49,0.000%,0,0
32493550.5,,SKY55446+REV,2024/10/04 03:40:36,2024/10/04 03:46:57,,,
32493550.5,6VTRX07,SKY55446+REV1,2024/10/04 03:40:36,2024/10/04 03:46:57,0.000%,0,0
4920441.1 2,,SKY55446+REV,2024/10/09 10:17:20,2024/10/10 02:23:56,,,
4920441.1 2,,SKY55446+REV,2024/10/09 10:17:20,2024/10/10 02:23:56,,,
882,6VTRX07,SKY55446+REV2,2024/10/09 10:17:20,2024/10/10 02:23:56,98.326%,20669,346
4920441.1 2,,SKY55446+REV,2024/10/09 10:17:20,2024/10/10 00:52:37,,,
4920441.1 2,,SKY55446+REV,2024/10/09 10:17:20,2024/10/10 00:52:37,,,
750,6VTRX07,SKY55446+REV2,2024/10/09 10:17:20,2024/10/10 00:52:37,81.744%,23274,4249
4920441.1 3,,SKY55446+REV,2024/10/10 02:36:26,2024/10/10 03:15:11,,,
4920441.1 3,,SKY55446+REV,2024/10/10 02:36:26,2024/10/10 03:15:11,,,
,6VTRX07,SKY55446+REV2,2024/10/10 02:36:26,2024/10/10 03:15:11,100.000%,119,0
4920441.1 3,,SKY55446+REV,2024/10/10 02:36:26,2024/10/10 03:04:56,,,
4920441.1 3,,SKY55446+REV,2024/10/10 02:36:26,2024/10/10 03:04:56,,,
894,6VTRX07,SKY55446+REV2,2024/10/10 02:36:26,2024/10/10 03:04:56,34.294%,347,228
4920441.1,,SKY55446+REV,2024/10/08 17:33:30,2024/10/08 18:47:26,,,
4920441.1,,SKY55446+REV,2024/10/08 17:33:30,2024/10/08 18:47:26,,,
5,6VTRX07,SKY55446+REV2,2024/10/08 17:33:30,2024/10/08 18:47:26,79.832%,952,192
4920441.2,,SKY55446+REV,2024/10/08 19:09:41,2024/10/08 19:12:16,,,
,6VTRX07,SKY55446+REV2,2024/10/08 19:09:41,2024/10/08 19:12:16,0.000%,0,0
4920441.3,,SKY55446+REV,2024/10/08 19:25:06,2024/10/08 20:39:59,,,
4920441.3,,SKY55446+REV,2024/10/08 19:25:06,2024/10/08 20:39:59,,,
3,6VTRX07,SKY55446+REV2,2024/10/08 19:25:06,2024/10/08 20:39:59,73.367%,995,265
4920441.4,,SKY55446+REV,2024/10/08 20:46:41,2024/10/08 20:48:04,,,
,6VTRX07,SKY55446+REV2,2024/10/08 20:46:41,2024/10/08 20:48:04,0.000%,0,0
4920441.5,,SKY55446+REV,2024/10/08 22:16:18,2024/10/09 06:24:06,,,
4920441.5,,SKY55446+REV,2024/10/08 22:16:18,2024/10/09 06:24:06,,,
66,6VTRX07,SKY55446+REV2,2024/10/08 22:16:18,2024/10/09 06:24:06,77.143%,2660,608
4929225.1,,SKY55446+REV,2024/10/04 05:19:06,2024/10/04 05:25:28,,,
,6VTRX07,SKY55446+REV1,2024/10/04 05:19:06,2024/10/04 05:25:28,0.000%,0,0
4957491.1,,SKY55446+REV,2024/10/01 10:04:27,2024/10/01 17:06:03,,,
4957491.1,,SKY55446+REV,2024/10/01 10:04:27,2024/10/01 17:06:03,,,
930,6VTRX07,SKY55446+REV1,2024/10/01 10:04:27,2024/10/01 17:06:03,96.876%,21481,671
4957491.1,,SKY55446+REV,2024/10/01 10:04:27,2024/10/01 17:33:36,,,
4957491.1,,SKY55446+REV,2024/10/01 10:04:27,2024/10/01 17:33:36,,,
,6VTRX07,SKY55446+REV1,2024/10/01 10:04:27,2024/10/01 17:33:36,99.508%,21539,106
4957491.1,,SKY55446+REV,2024/10/01 10:04:27,2024/10/01 11:06:43,,,
4957491.1,,SKY55446+REV,2024/10/01 10:04:27,2024/10/01 11:06:43,,,
118,6VTRX07,SKY55446+REV1,2024/10/01 10:04:27,2024/10/01 11:06:43,97.683%,3108,72
4957492.1,,SKY55446+REV,2024/10/13 14:32:33,2024/10/13 19:57:31,,,
4957492.1,,SKY55446+REV,2024/10/13 14:32:33,2024/10/13 19:57:31,,,
,6VTRX07,SKY55446+REV3,2024/10/13 14:32:33,2024/10/13 19:57:31,98.095%,21467,409
4957492.1,,SKY55446+REV,2024/10/13 14:32:33,2024/10/13 19:06:43,,,
4957492.1,,SKY55446+REV,2024/10/13 14:32:33,2024/10/13 19:06:43,,,
788,6VTRX07,SKY55446+REV3,2024/10/13 14:32:33,2024/10/13 19:06:43,91.224%,21250,1865
4957493.1,,SKY55446+REV,2024/10/12 00:11:37,2024/10/12 05:27:06,,,
4957493.1,,SKY55446+REV,2024/10/12 00:11:37,2024/10/12 05:27:06,,,
950,6VTRX07,SKY55446+REV3,2024/10/12 00:11:37,2024/10/12 05:27:06,99.639%,21077,76
4957493.1,,SKY55446+REV,2024/10/12 00:11:37,2024/10/12 05:35:29,,,
4957493.1,,SKY55446+REV,2024/10/12 00:11:37,2024/10/12 05:35:29,,,
,6VTRX07,SKY55446+REV3,2024/10/12 00:11:37,2024/10/12 05:35:29,100.000%,21001,0
4957493.1,,SKY55446+REV,2024/10/12 00:11:37,2024/10/12 04:51:16,,,
4957493.1,,SKY55446+REV,2024/10/12 00:11:37,2024/10/12 04:51:16,,,
858,6VTRX07,SKY55446+REV3,2024/10/12 00:11:37,2024/10/12 04:51:16,96.072%,20903,821
4957913.1,,SKY55446+REV,2024/10/15 08:44:57,2024/10/15 13:48:18,,,
4957913.1,,SKY55446+REV,2024/10/15 08:44:57,2024/10/15 13:48:18,,,
,6VTRX07,SKY55446+REV3,2024/10/15 08:44:57,2024/10/15 13:48:18,98.761%,16781,208
4957913.1,,SKY55446+REV,2024/10/15 08:44:57,2024/10/15 13:21:07,,,
4957913.1,,SKY55446+REV,2024/10/15 08:44:57,2024/10/15 13:21:07,,,
443,6VTRX07,SKY55446+REV3,2024/10/15 08:44:57,2024/10/15 13:21:07,95.333%,16713,780
4957913.1DEP 2,,SKY55446+REV,2024/10/20 10:49:09,2024/10/20 13:34:13,,,
4957913.1DEP 2,6VTRX07,SKY55446+REV3,2024/10/20 10:49:09,2024/10/20 13:34:13,100.000%,11256,0
4957913.1DEP 3,,SKY55446+REV,2024/10/20 13:53:03,2024/10/20 15:04:18,,,
4957913.1DEP 3,6VTRX07,SKY55446+REV3,2024/10/20 13:53:03,2024/10/20 15:04:18,0.000%,0,0
4957913.1DEP 4,,SKY55446+REV,2024/10/20 16:37:14,2024/10/20 17:29:37,,,
4957913.1DEP 4,6VTRX07,SKY55446+REV3,2024/10/20 16:37:14,2024/10/20 17:29:37,99.980%,4893,1
4957913.1DEP,,SKY55446+REV,2024/10/20 10:40:45,2024/10/20 10:45:03,,,
4957913.1DEP,6VTRX07,SKY55446+REV3,2024/10/20 10:40:45,2024/10/20 10:45:03,0.000%,0,0
4957913.2,,SKY55446+REV,2024/10/21 08:25:06,2024/10/21 10:42:43,,,
4957913.2,,SKY55446+REV,2024/10/21 08:25:06,2024/10/21 10:42:43,,,
258,6VTRX07,SKY55446+REV3,2024/10/21 08:25:06,2024/10/21 10:42:43,95.164%,3391,164
4957913.2,,SKY55446+REV,2024/10/21 08:25:06,2024/10/21 08:27:50,,,
