Week,Lot,Detape,Equip ID,,,,,,,
Week 40,4929225.1,no,6VTRX07,,,,,,,
Week 40,4957491.1,no,6VTRX07,,,,,Detape,,
Week 40,4957915.1,yes,6VTRX07,,,Total lots,No detape,6VTRX07,6VTRX08,
Week 40,4958151.1,yes,6VTRX07,,Week 40,10,6,2,2,40.00%
Week 40,4919253.1,no,6VTRX08,,Week 41,12,10,0,2,16.67%
Week 40,4957496.1,no,6VTRX08,,Week 42,15,10,2,3,33.33%
Week 40,4958153.1,yes,6VTRX08,,Week 43,9,4,5,0,55.56%
Week 40,4958154.1,yes,6VTRX08,,Week 44,9,3,1,0,11.11%
Week 40,4958958.1,no,6VTRX08,,,,,,,
Week 40,4958963.1,no,6VTRX08,,,,,,,
Week 41,4920441.1,no,6VTRX07,,,,,,,
Week 41,4957493.1,no,6VTRX07,,,,,,,
Week 41,4957914.1,no,6VTRX07,,,,,,,
Week 41,4958149.1,no,6VTRX07,,,,,,,
Week 41,4958962.1,no,6VTRX07,,,,,,,
Week 41,4958964.1,no,6VTRX07,,,,,,,
Week 41,4958966.1,no,6VTRX07,,,,,,,
Week 41,4959204.1,no,6VTRX07,,,,,,,
Week 41,4957497.1,yes,6VTRX08,,,,,,,
Week 41,4957920.1,yes,6VTRX08,,,,,,,
Week 41,4957921.1,no,6VTRX08,,,,,,,
Week 41,4958150.1,no,6VTRX08,,,,,,,
Week 42,4957492.1,no,6VTRX07,,,,,,,
Week 42,4957913.1,no,6VTRX07,,,,,,,
Week 42,4957916.1,no,6VTRX07,,,,,,,
Week 42,4957919.1,no,6VTRX07,,,,,,,
Week 42,4958148.1,no,6VTRX07,,,,,,,
Week 42,4958152.1,no,6VTRX07,,,,,,,
Week 42,4958156.1,yes,6VTRX07,,,,,,,
Week 42,4958960.1,yes,6VTRX07,,,,,,,
Week 42,4957490.1,no,6VTRX08,,,,,,,
Week 42,4957495.1,no,6VTRX08,,,,,,,
Week 42,4957918.1,yes,6VTRX08,,,,,,,
Week 42,4958961.1,no,6VTRX08,,,,,,,
Week 42,4959180.1,no,6VTRX08,,,,,,,
Week 42,4959201.1,yes,6VTRX08,,,,,,,
Week 42,4959202.1,yes,6VTRX08,,,,,,,
Week 43,4957913.1,yes,6VTRX07,,,,,,,
Week 43,4957922.1,yes,6VTRX07,,,,,,,
Week 43,4958156.1,yes,6VTRX07,,,,,,,
Week 43,4958965.1,yes,6VTRX07,,,,,,,
Week 43,4959203.1,no,6VTRX07,,,,,,,
Week 43,4957494.1,no,6VTRX08,,,,,,,
Week 43,4958155.1,no,6VTRX08,,,,,,,
Week 43,4958156.1,yes,6VTRX07,,,,,,,
Week 43,4958959.1,no,6VTRX08,,,,,,,
Week 44,4985412.1,no,6VTRX07,,,,,,,
Week 44,4986251.1,yes,6VTRX07,,,,,,,
Week 44,4986722.1,no,6VTRX08,,,,,,,
Week 44,4985399.1,no,6VTRX07,,,,,,,
