LOT,FROM,Input Wafer Total,Rejected Dice,Tape & Reel B Total,Reject Tray Total,Passed,Empty Failed,Others Failed,Angle Failed,Pitch Failed,Chip Failed,Contamination FailedCrack Failed,Bump Failed,Pad Failed,Probe Mark Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,Die Sawn Failed,Chip In Failed,Chip Out Failed,Contamination Failed,Crack Failed,Die Size Failed,SubROI Failed,Spec Failed,Bump Failed,Pad Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,Chip Failed,Contamination Failed,Crack Failed,Bump Failed,TOTAL,Passed,Others Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,Chip In Failed,Chip Out Failed,Contamination Failed,Crack Failed,Adhesive Failed,Edge Failed,Die Size Failed,SubROI Failed,Marking Failed,Orientation Failed,No Mark Failed,2D Code Failed,Copper Exposed Failed,TOTAL,Empty Failed,Others Failed,Angle Failed,Chip Failed,Crack Failed,Contamination Failed,Marking Failed,Top Layer Seal Broken,Bottom Layer Seal Broken,Both Layer Seal Broken,Top Layer Seal Limit Exceeded,Bottom Layer Seal Limit Exceeded,Both Layer Seal Limit Exceeded,Top Layer Seal Width Inconsistency,Bottom Layer Seal Width Inconsistency,Both Layer Seal Width Inconsistency,Relative Seal Width Inconsistency,TOTAL,Passed,Empty Failed,Others Failed,Chip Failed,Contamination Failed,Crack Failed,Marking Failed,Discolouration Failed,Die Size Failed,TOTAL,Passed,Empty Failed,Others Failed,Bump Height Failed,Warpage Failed,Slanted Failed,TOTAL,Passed,Empty Failed,Others Failed,Angle Failed,Chip Failed,Contamination Failed,Crack Failed,Marking Failed,Delamination
5310363.1,9/1/2025 9:15:51 AM To : 9/1/2025 12:45:17 PM,17,15,0,0,0,0,0,0,0,0,22458,Quantity,22424,1,0,Quantity,22418,0,2,0,Quantity,22419,0,0,0,Quantity,561,0,0,0,Quantity,22419,1,4,0,Quantity,22186,0,0,0,35,0,26,0,0,0,0,0,0,22247,Quantity,0,0,0,0,0,0,0,0,Quantity,22165,0,22165,Quantity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22164,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,22195,0,0,0,0,0,0,3,22198,Quantity,2243,0,0,0,0,2243,Quantity,22198,0,0,0,0,221,0,0,22419,,Wafer ID,W1,W1
5323944.1,9/2/2025 4:34:18 AM To : 9/2/2025 8:17:10 AM,16,3,0,0,0,0,0,0,0,0,24984,Quantity,24940,25,0,Quantity,24940,0,0,0,Quantity,24940,0,0,0,Quantity,552,0,0,0,Quantity,24940,0,0,0,Quantity,24511,0,0,0,3,0,10,0,0,0,0,0,3,24527,Quantity,0,0,0,0,0,0,0,0,Quantity,24500,0,24500,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24508,0,0,1,0,0,0,132,24641,Quantity,2495,0,0,0,0,2495,Quantity,24641,0,1,0,0,298,0,0,24940,,Wafer ID,W1,W1
5338028.1,9/2/2025 12:24:16 PM To : 9/2/2025 4:42:17 PM,25,35,0,0,0,0,0,0,0,0,24532,Quantity,24465,7,0,Quantity,24465,0,0,0,Quantity,24465,0,0,0,Quantity,485,0,0,0,Quantity,24465,0,0,0,Quantity,24041,0,0,0,2,0,200,0,0,0,0,0,2,24245,Quantity,0,0,0,0,0,0,0,0,Quantity,24043,0,24043,Quantity,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24041,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24132,0,0,0,0,0,0,49,24181,Quantity,2445,0,0,0,0,2445,Quantity,24181,0,0,0,0,284,0,0,24465,,Wafer ID,W1,W1
5341695.1,9/2/2025 4:42:17 PM To : 9/2/2025 9:08:14 PM,66,98,0,0,0,0,0,0,0,0,25183,Quantity,25018,1,0,Quantity,25018,0,0,0,Quantity,25018,0,0,0,Quantity,584,0,0,0,Quantity,25018,0,0,0,Quantity,24550,0,0,0,0,0,27,0,0,0,0,0,0,24577,Quantity,0,0,0,0,0,0,0,0,Quantity,24548,0,24548,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24548,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24559,0,0,0,0,0,0,0,24559,Quantity,2461,0,0,0,0,2461,Quantity,24559,0,1,0,0,458,0,0,25018,,Wafer ID,W1,W1
5356311.1,9/2/2025 12:40:29 AM To : 9/2/2025 4:34:18 AM,1,0,0,0,0,0,0,0,0,0,25047,Quantity,25040,6,0,Quantity,25038,2,0,0,Quantity,25039,0,1,0,Quantity,606,0,0,0,Quantity,25040,0,0,0,Quantity,24734,0,0,0,2,0,4,0,0,0,0,0,0,24740,Quantity,0,0,0,0,0,0,0,0,Quantity,24719,0,24719,Quantity,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24715,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24720,0,0,1,0,0,0,15,24736,Quantity,2504,0,0,0,0,2504,Quantity,24736,0,2,0,0,301,0,0,25039,,Wafer ID,W1,W1
5356545.1,9/2/2025 8:17:10 AM To : 9/2/2025 12:24:16 PM,7,3,0,0,0,0,0,0,0,0,25051,Quantity,25040,1,0,Quantity,25040,0,0,0,Quantity,25040,0,0,0,Quantity,481,0,0,0,Quantity,25040,0,0,0,Quantity,24725,0,0,0,0,0,77,0,0,0,0,0,0,24802,Quantity,0,0,0,0,0,0,0,0,Quantity,24727,0,24727,Quantity,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24725,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24753,0,0,2,0,0,0,0,24755,Quantity,2504,0,0,0,0,2504,Quantity,24755,0,2,0,0,283,0,0,25040,,Wafer ID,W1,W1
5357769.1,9/1/2025 8:45:09 PM To : 9/2/2025 12:40:29 AM,2,0,0,0,0,0,0,0,0,0,24737,Quantity,24735,0,0,Quantity,24709,9,0,0,Quantity,24735,0,0,0,Quantity,384,0,0,0,Quantity,24735,0,0,0,Quantity,24453,0,0,0,7,0,2,0,0,0,0,0,0,24462,Quantity,0,0,0,0,0,0,0,0,Quantity,24454,0,24454,Quantity,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24452,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24465,4,0,0,0,0,0,36,24505,Quantity,2473,0,0,0,0,2473,Quantity,24505,13,2,0,0,215,0,0,24735,,Wafer ID,W1,W1
5360581.1,9/1/2025 4:55:25 PM To : 9/1/2025 8:45:08 PM,42,35,0,0,0,0,0,0,0,0,24939,Quantity,24858,4,0,Quantity,24858,0,0,0,Quantity,24858,0,0,0,Quantity,556,0,0,0,Quantity,24858,0,0,0,Quantity,24439,0,0,0,0,0,0,0,0,0,0,0,0,24439,Quantity,0,0,0,0,0,0,0,0,Quantity,24420,0,24420,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24420,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24420,0,0,3,0,0,0,14,24437,Quantity,2489,0,0,0,0,2489,Quantity,24437,0,0,0,0,421,0,0,24858,,Wafer ID,W1,W1
5364349.1,9/1/2025 12:45:17 PM To : 9/1/2025 4:55:25 PM,10,6,0,0,0,0,0,0,0,0,24937,Quantity,24915,6,0,Quantity,24912,1,0,0,Quantity,24915,0,0,0,Quantity,552,1,0,1,Quantity,24915,0,0,0,Quantity,24499,0,0,0,0,0,31,0,0,0,0,0,0,24530,Quantity,0,0,0,0,0,0,0,0,Quantity,24495,0,24495,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24494,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24504,0,0,3,0,0,0,114,24621,Quantity,2491,0,0,0,0,2491,Quantity,24621,1,0,0,0,292,0,0,24914,,Wafer ID,W1,W1
5365862.1,9/1/2025 5:10:32 AM To : 9/1/2025 9:15:51 AM,42,18,0,0,0,0,0,0,0,0,25059,Quantity,24994,5,0,Quantity,24994,0,0,0,Quantity,24994,0,0,0,Quantity,485,0,0,0,Quantity,24994,0,0,0,Quantity,24768,0,0,0,0,0,11,0,0,0,0,0,0,24779,Quantity,0,0,0,0,0,0,0,0,Quantity,24770,0,24770,Quantity,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24767,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quantity,24771,0,0,0,0,0,0,4,24775,Quantity,2501,0,0,0,0,2501,Quantity,24775,0,0,0,0,219,0,0,24994,,Wafer ID,W1,W1
