Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4694084.1,6VTRX01,SKYA22004+REV2,4/2/2024 7:09,4/2/2024 12:43,97.44%,9988,
4694084.2,6VTRX01,SKYA22004+REV2,4/2/2024 12:44,4/2/2024 13:00,65.23%,256,
4694571.1,6VTRX01,SKYA22004+REV2,3/31/2024 23:20,4/1/2024 0:41,99.43%,10094,
4694571.2,6VTRX01,SKYA22004+REV2,4/1/2024 1:01,4/1/2024 1:08,75.86%,58,
4706778.1,6VTRX01,SKYA21043+REV1,4/1/2024 21:25,4/1/2024 23:09,86.48%,5127,
4706778.2,6VTRX01,SKYA21043+REV1,4/1/2024 23:12,4/1/2024 23:28,84.27%,693,
4706778.3,6VTRX01,SKYA21043+REV1,4/1/2024 23:30,4/1/2024 23:37,87.16%,109,
4733587.1,6VTRX01,SKY58083+REV11,4/6/2024 9:33,4/6/2024 11:11,97.20%,10717,
4733587.2,6VTRX01,SKY58083+REV11,4/6/2024 11:15,4/6/2024 11:32,69.46%,298,
4738796.1,6VTRX01,SKY58253+REV1,4/8/2024 1:22,4/8/2024 2:36,96.21%,8706,
4738796.2,6VTRX01,SKY58253+REV1,4/8/2024 2:41,4/8/2024 2:53,93.64%,330,
4746008.1,6VTRX01,SKY58253+REV1,4/10/2024 3:52,4/10/2024 4:49,97.98%,8314,
4753451.1,6VTRX01,SKY58083+REV11,4/1/2024 18:17,4/1/2024 18:43,97.42%,1317,
4753862.1,6VTRX01,SKYA21067+REV5,4/3/2024 1:12,4/3/2024 2:15,98.42%,9426,
4753862.2,6VTRX01,SKYA21067+REV5,4/3/2024 2:21,4/3/2024 2:31,61.75%,149,
4753864.1,6VTRX01,SKYA21067+REV5,4/2/2024 23:54,4/3/2024 0:53,98.70%,9360,
4753864.2,6VTRX01,SKYA21067+REV5,4/3/2024 0:56,4/3/2024 1:07,75.61%,123,
4753895.1,6VTRX01,SKY58083+REV11,4/1/2024 4:27,4/1/2024 6:38,49.97%,1849,
4753895.2,6VTRX01,SKY58083+REV11,4/1/2024 7:01,4/1/2024 7:19,91.67%,1128,
4754643.1,6VTRX01,SKY58083+REV11,4/1/2024 2:24,4/1/2024 4:01,84.44%,2076,
4754643.2,6VTRX01,SKY58083+REV11,4/1/2024 4:02,4/1/2024 4:18,41.18%,323,
4755080.1,6VTRX01,SKY58083+REV11,4/5/2024 17:55,4/5/2024 18:46,96.72%,5331,
4755080.2,6VTRX01,SKY58083+REV11,4/5/2024 18:47,4/5/2024 19:03,75.43%,175,
4755081.1,6VTRX01,SKY58083+REV11,4/4/2024 23:26,4/4/2024 23:59,98.40%,5366,
4755082.1,6VTRX01,SKY58083+REV11,4/5/2024 10:58,4/5/2024 11:36,97.62%,5388,
4755082.2,6VTRX01,SKY58083+REV11,4/5/2024 11:41,4/5/2024 11:54,64.06%,128,
4755199.1,6VTRX01,SKYA21067+REV5,4/2/2024 19:39,4/2/2024 20:46,97.59%,8221,
4755199.2,6VTRX01,SKYA21067+REV5,4/2/2024 21:03,4/2/2024 21:21,83.25%,197,
4755200.1,6VTRX01,SKYA21067+REV5,4/2/2024 21:27,4/2/2024 23:34,99.77%,9518,
4755409.1,6VTRX01,SKY58083+REV11,4/5/2024 16:31,4/5/2024 17:22,96.12%,7057,
4755409.2,6VTRX01,SKY58083+REV11,4/5/2024 17:25,4/5/2024 17:35,0.37%,274,
4755409.3,6VTRX01,SKY58083+REV11,4/5/2024 17:36,4/5/2024 17:53,81.60%,576,
4756285.1,6VTRX01,SKY58083+REV11,4/6/2024 21:47,4/6/2024 22:58,97.44%,8643,
4756287.1,6VTRX01,SKY58083+REV11,4/4/2024 15:31,4/4/2024 16:38,96.73%,9909,
4756287.2,6VTRX01,SKY58083+REV11,4/4/2024 16:40,4/4/2024 16:53,65.12%,324,
4756289.1,6VTRX01,SKY58083+REV11,4/5/2024 2:08,4/5/2024 4:02,97.36%,10408,
4756289.2,6VTRX01,SKY58083+REV11,4/5/2024 4:04,4/5/2024 4:13,76.73%,275,
4756291.1,6VTRX01,SKY58083+REV11,4/4/2024 16:55,4/4/2024 20:53,85.79%,10657,
4756291.2,6VTRX01,SKY58083+REV11,4/4/2024 20:53,4/4/2024 22:13,90.75%,1514,
4756639.1,6VTRX01,SKY58083+REV11,4/5/2024 12:07,4/5/2024 12:22,97.48%,1466,
4756640.1,6VTRX01,SKY58083+REV11,4/4/2024 12:33,4/4/2024 12:52,95.55%,1572,
4756640.2,6VTRX01,SKY58083+REV11,4/4/2024 12:56,4/4/2024 13:02,70.00%,70,
4756661.1,6VTRX01,SKY58083+REV11,4/7/2024 0:59,4/7/2024 1:34,96.04%,2374,
4756677.1,6VTRX01,SKY58083+REV11,4/5/2024 23:50,4/6/2024 1:00,96.67%,5338,
4756677.2,6VTRX01,SKY58083+REV11,4/6/2024 1:02,4/6/2024 1:10,78.86%,175,
4756679.1,6VTRX01,SKY58083+REV11,4/6/2024 11:36,4/6/2024 12:44,97.81%,7207,
4757560.1,6VTRX01,SKY58083+REV11,4/5/2024 20:42,4/5/2024 22:57,96.00%,10293,
4757560.2,6VTRX01,SKY58083+REV11,4/5/2024 23:01,4/5/2024 23:18,75.91%,411,
4757584.1,6VTRX01,SKY58083+REV11,4/5/2024 8:32,4/5/2024 10:36,96.97%,10459,
4757584.2,6VTRX01,SKY58083+REV11,4/5/2024 10:42,4/5/2024 10:54,81.39%,317,
4757586.1,6VTRX01,SKY58083+REV11,4/3/2024 4:01,4/3/2024 7:52,88.81%,2520,
4758173.1,6VTRX01,SKY58083+REV11,4/6/2024 1:42,4/6/2024 5:03,96.97%,10721,
4758174.1,6VTRX01,SKY58083+REV11,4/5/2024 7:11,4/5/2024 8:15,97.77%,10705,
4758174.2,6VTRX01,SKY58083+REV11,4/5/2024 8:19,4/5/2024 8:28,64.44%,239,
4758175.1,6VTRX01,SKY58083+REV11,4/6/2024 15:50,4/6/2024 17:09,97.87%,10729,
4758176.1,6VTRX01,SKY58083+REV11,4/6/2024 13:38,4/6/2024 15:30,96.86%,10744,
4758176.2,6VTRX01,SKY58083+REV11,4/6/2024 15:32,4/6/2024 15:48,72.70%,337,
4758177.1,6VTRX01,SKY58083+REV11,4/5/2024 12:26,4/5/2024 13:33,97.00%,10747,
4758177.2,6VTRX01,SKY58083+REV11,4/5/2024 13:35,4/5/2024 13:48,0.00%,322,
4758177.3,6VTRX01,SKY58083+REV11,4/5/2024 13:54,4/5/2024 14:15,84.56%,667,
4758178.1,6VTRX01,SKY58083+REV11,4/6/2024 5:15,4/6/2024 6:54,96.95%,10782,
4758178.2,6VTRX01,SKY58083+REV11,4/6/2024 6:57,4/6/2024 7:15,67.99%,328,
4758909.1,6VTRX01,SKY58083+REV11,4/5/2024 14:31,4/5/2024 16:16,97.55%,10811,
4758909.2,6VTRX01,SKY58083+REV11,4/5/2024 16:19,4/5/2024 16:29,70.94%,265,
4758911.1,6VTRX01,SKY58083+REV11,4/4/2024 13:05,4/4/2024 14:34,96.37%,10846,
4758911.2,6VTRX01,SKY58083+REV11,4/4/2024 14:53,4/4/2024 15:24,57.88%,406,
4758913.1,6VTRX01,SKY58083+REV11,4/5/2024 19:53,4/5/2024 20:31,97.16%,1234,
4758915.1,6VTRX01,SKY58083+REV11,4/6/2024 1:16,4/6/2024 1:34,94.90%,1293,
4758921.1,6VTRX01,SKY58253+REV1,4/8/2024 5:12,4/8/2024 6:45,98.05%,8733,
4759075.1,6VTRX01,SKY58083+REV11,4/5/2024 23:30,4/5/2024 23:45,98.23%,1808,
4759076.1,6VTRX01,SKY58083+REV11,4/5/2024 19:13,4/5/2024 19:45,97.36%,2686,
4759078.1,6VTRX01,SKY58083+REV11,4/4/2024 22:18,4/4/2024 23:20,97.94%,5335,
4759079.1,6VTRX01,SKY58083+REV11,4/4/2024 6:25,4/4/2024 8:20,80.69%,5334,
4759079.2,6VTRX01,SKY58083+REV11,4/4/2024 9:03,4/4/2024 9:32,90.25%,1015,
4759658.1,6VTRX01,SKY58253+REV1,4/8/2024 3:53,4/8/2024 5:00,97.79%,8654,
4759852.1,6VTRX01,SKY58083+REV11,4/6/2024 20:02,4/6/2024 21:43,97.21%,6025,
4759853.1,6VTRX01,SKY58083+REV11,4/4/2024 9:39,4/4/2024 12:01,95.97%,10497,
4759853.2,6VTRX01,SKY58083+REV11,4/4/2024 12:07,4/4/2024 12:26,72.28%,422,
4759854.1,6VTRX01,SKY58083+REV11,4/6/2024 7:18,4/6/2024 8:59,96.72%,10633,
4759854.2,6VTRX01,SKY58083+REV11,4/6/2024 9:04,4/6/2024 9:24,76.00%,350,
4760516.1,6VTRX01,SKY58083+REV11,4/6/2024 23:08,4/7/2024 0:33,94.25%,5360,
4760516.2,6VTRX01,SKY58083+REV11,4/7/2024 0:37,4/7/2024 0:50,84.79%,309,
4760517.1,6VTRX01,SKY58083+REV11,4/6/2024 12:46,4/6/2024 13:35,97.74%,5350,
