Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
2,6VTRX01,SKY58083+REV11,2024/03/01 04:18:31,2024/03/01 04:27:47,81.395%,215,
4652182.1,6VTRX01,SKY53728-NF,2024/03/07 03:12:28,2024/03/07 08:07:20,99.007%,13694,
4652182.1,6VTRX01,SKY53728-NF,2024/03/07 03:12:28,2024/03/07 06:15:36,96.992%,10605,
4652182.2,6VTRX01,SKY53728-NF,2024/03/07 08:32:36,2024/03/07 09:57:26,35.901%,649,
4652182.3,6VTRX01,SKY53728-NF,2024/03/07 10:05:42,2024/03/07 10:29:47,2.657%,414,
4653206.1,6VTRX01,SKY58261+REV1,2024/03/13 17:02:17,2024/03/13 17:43:49,97.702%,4177,
4655889.1,6VTRX01,SKY58261+REV1,2024/03/28 06:21:18,2024/03/28 07:44:44,95.926%,10015,
4655889.2,6VTRX01,SKY58261+REV1,2024/03/28 07:51:47,2024/03/28 08:10:54,77.941%,408,
4655890.1 CLIP AMARILLO,6VTRX01,SKY58261+REV1,2024/03/14 03:23:13,2024/03/14 03:33:12,67.391%,92,
4655890.1 MATERIAL BUENO,6VTRX01,SKY58261+REV1,2024/03/14 01:50:47,2024/03/14 03:04:03,98.592%,13708,
4655890.2 MATERIAL BUENO,6VTRX01,SKY58261+REV1,2024/03/14 03:11:54,2024/03/14 03:21:55,81.347%,193,
4669643.1,6VTRX01,SKYA23011+REV2,2024/03/04 10:01:53,2024/03/04 10:39:01,99.195%,4472,
4670289.1,6VTRX01,SKYA23011+REV2,2024/03/04 09:13:52,2024/03/04 09:59:56,99.200%,4624,
4686101.1 RE,6VTRX01,SKYA23011+REV2,2024/03/04 10:43:37,2024/03/04 11:48:37,90.932%,5481,
4686101.2 RE,6VTRX01,SKYA23011+REV2,2024/03/04 12:10:05,2024/03/04 12:26:53,98.248%,799,
4687956.1,6VTRX01,SKYA23011+REV2,2024/03/04 07:04:17,2024/03/04 08:48:40,91.488%,5510,
4687956.2,6VTRX01,SKYA23011+REV2,2024/03/04 08:51:17,2024/03/04 09:03:43,76.546%,469,
4687956.3,6VTRX01,SKYA23011+REV2,2024/03/04 09:06:40,2024/03/04 09:12:29,44.144%,111,
4694084.1,6VTRX01,SKYA22004+REV2,2024/04/02 07:09:16,2024/04/02 12:43:05,97.437%,9988,
4694084.2,6VTRX01,SKYA22004+REV2,2024/04/02 12:44:36,2024/04/02 13:00:22,65.234%,256,
4694571.1,6VTRX01,SKYA22004+REV2,2024/03/31 23:20:35,2024/04/01 00:41:16,99.425%,10094,
4694571.2,6VTRX01,SKYA22004+REV2,2024/04/01 01:01:30,2024/04/01 01:08:07,75.862%,58,
4697421.1,6VTRX01,SKYA21043+REV1,2024/03/20 07:05:41,2024/03/20 08:43:20,71.051%,6052,
4699391.1,6VTRX01,SKY58261+REV1,2024/03/06 05:23:49,2024/03/06 07:32:23,93.042%,13222,
4699391.2,6VTRX01,SKY58261+REV1,2024/03/06 07:34:24,2024/03/06 07:50:43,92.116%,482,
4701916.1,6VTRX01,SKYA22004+REV2,2024/03/29 17:41:58,2024/03/30 09:42:31,90.253%,8372,
4701916.2,6VTRX01,SKYA22004+REV2,2024/03/30 10:32:21,2024/03/30 10:42:40,85.625%,160,
4702635.1,6VTRX01,SKY58261+REV1,2024/03/06 17:47:29,2024/03/06 20:18:25,93.677%,12652,
4702635.2,6VTRX01,SKY58261+REV1,2024/03/06 20:19:45,2024/03/06 20:29:20,43.892%,704,
4702635.3,6VTRX01,SKY58261+REV1,2024/03/06 20:49:39,2024/03/06 21:23:00,59.505%,1131,
4702683.1,6VTRX01,SKY58261+REV1,2024/03/11 00:04:18,2024/03/11 02:48:15,95.239%,13631,
4702683.2,6VTRX01,SKY58261+REV1,2024/03/11 02:49:35,2024/03/11 03:41:00,47.400%,673,
4702683.3,6VTRX01,SKY58261+REV1,2024/03/11 03:42:52,2024/03/11 03:56:48,5.932%,354,
4702714.1,6VTRX01,SKY58083+REV11,2024/03/01 06:21:48,2024/03/01 07:28:57,98.214%,10748,
4702714.2,6VTRX01,SKY58083+REV11,2024/03/01 07:29:38,2024/03/01 07:41:26,90.104%,192,
4704710.1,6VTRX01,SKY58083+REV11,2024/03/19 14:33:25,2024/03/19 15:31:49,97.352%,10349,
4704710.1R,6VTRX01,SKY58083+REV11,2024/03/26 17:39:24,2024/03/26 18:58:28,97.359%,10338,
4704877.1,6VTRX01,SKY58261+REV1,2024/03/11 06:27:51,2024/03/11 08:43:28,93.290%,13324,
4704877.2,6VTRX01,SKY58261+REV1,2024/03/11 08:44:48,2024/03/11 09:04:26,85.459%,894,
4705358.1,6VTRX01,SKY58083+REV11,2024/03/01 10:51:55,2024/03/01 12:09:18,97.290%,10776,
4705358.2,6VTRX01,SKY58083+REV11,2024/03/01 12:11:33,2024/03/01 12:24:03,86.644%,292,
4705394.1,6VTRX01,SKY58261+REV1,2024/03/09 11:36:07,2024/03/09 11:42:34,OTAL INSPECTED : 0             Total Yield :   0.000%,0,
4705394.3,6VTRX01,SKY58261+REV1,2024/03/09 11:53:40,2024/03/09 12:04:15,50.000%,74,
4705586.1,6VTRX01,SKYA23032+REV3,2024/03/09 04:57:51,2024/03/09 05:49:59,98.658%,7078,
4705586.2,6VTRX01,SKYA23032+REV3,2024/03/09 05:50:25,2024/03/09 05:56:35,52.632%,95,
4705587.1,6VTRX01,SKYA23032+REV3,2024/03/09 05:58:03,2024/03/09 07:20:13,98.806%,7287,
4705587.2,6VTRX01,SKYA23032+REV3,2024/03/09 07:21:07,2024/03/09 07:27:17,56.322%,87,
4705588.1,6VTRX01,SKYA23032+REV3,2024/03/09 16:10:59,2024/03/09 17:08:49,98.446%,7784,
4705588.2,6VTRX01,SKYA23032+REV3,2024/03/09 17:09:36,2024/03/09 17:21:42,64.167%,120,
4706612.1,6VTRX01,SKY58083+REV11,2024/03/01 22:24:30,2024/03/01 23:42:39,99.440%,10709,
4706778.1,6VTRX01,SKYA21043+REV1,2024/04/01 21:25:59,2024/04/01 23:09:48,86.483%,5127,
4706778.2,6VTRX01,SKYA21043+REV1,2024/04/01 23:12:23,2024/04/01 23:28:36,84.271%,693,
4706778.3,6VTRX01,SKYA21043+REV1,2024/04/01 23:30:15,2024/04/01 23:37:43,87.156%,109,
4706781.1,6VTRX01,SKYA21043+REV1,2024/03/04 23:05:43,2024/03/04 23:57:47,97.713%,7039,
4706781.2,6VTRX01,SKYA21043+REV1,2024/03/05 00:04:16,2024/03/05 00:12:38,88.199%,161,
4706841.1,6VTRX01,SKYA23032+REV3,2024/03/09 14:40:25,2024/03/09 16:00:02,98.772%,7492,
4706841.2,6VTRX01,SKYA23032+REV3,2024/03/09 16:01:04,2024/03/09 16:07:50,64.130%,92,
4706842.1,6VTRX01,SKYA23032+REV3,2024/03/09 12:39:29,2024/03/09 14:17:25,98.220%,7471,
4706843.1,6VTRX01,SKYA23032+REV3,2024/03/09 02:43:15,2024/03/09 04:48:35,99.038%,7589,
4706843.2,6VTRX01,SKYA23032+REV3,2024/03/09 04:50:27,2024/03/09 04:56:27,67.105%,76,
4706844.1,6VTRX01,SKYA23032+REV3,2024/03/09 08:59:39,2024/03/09 11:13:43,97.762%,5942,
4706844.2,6VTRX01,SKYA23032+REV3,2024/03/09 11:17:48,2024/03/09 11:24:55,83.459%,133,
4707846.1,6VTRX01,SKY58083+REV11,2024/03/01 00:52:48,2024/03/01 01:18:44,96.406%,2532,
4709019.1,6VTRX01,SKY58083+REV11,2024/02/29 23:39:01,2024/03/01 00:43:35,97.852%,8565,
4709019.2,6VTRX01,SKY58083+REV11,2024/03/01 00:44:01,2024/03/01 00:52:10,78.261%,184,
4709071.1,6VTRX01,SKY58261+REV1,2024/03/05 18:28:53,2024/03/05 21:07:14,94.667%,13258,
4709071.2,6VTRX01,SKY58261+REV1,2024/03/05 21:13:05,2024/03/05 21:36:36,55.382%,706,
4709072.1,6VTRX01,SKY58261+REV1,2024/03/06 15:17:18,2024/03/06 17:08:32,95.148%,14365,
4709072.2,6VTRX01,SKY58261+REV1,2024/03/06 17:12:30,2024/03/06 17:35:30,69.514%,925,
4711351.1,6VTRX01,SKY58083+REV11,2024/03/01 04:42:44,2024/03/01 05:50:45,97.895%,10689,
4711351.2,6VTRX01,SKY58083+REV11,2024/03/01 05:52:22,2024/03/01 06:20:14,82.222%,225,
4711353.1,6VTRX01,SKY58083+REV11,2024/03/01 23:43:13,2024/03/02 00:54:08,98.838%,8005,
4711356.1,6VTRX01,SKY58083+REV11,2024/03/01 07:43:44,2024/03/01 08:59:29,97.137%,10061,
4711356.2,6VTRX01,SKY58083+REV11,2024/03/01 09:02:05,2024/03/01 09:14:39,85.337%,341,
4711362.1,6VTRX01,SKY58261+REV1,2024/03/07 20:11:11,2024/03/07 23:16:44,93.773%,13844,
4711362.2,6VTRX01,SKY58261+REV1,2024/03/07 23:17:10,2024/03/07 23:44:47,65.465%,860,
4711365.1,6VTRX01,SKY58261+REV1,2024/03/06 07:51:56,2024/03/06 09:50:12,94.595%,14080,
4711365.2,6VTRX01,SKY58261+REV1,2024/03/06 09:52:44,2024/03/06 10:14:15,92.949%,468,
4711366.1,6VTRX01,SKY58261+REV1,2024/03/10 04:11:34,2024/03/10 06:40:42,96.601%,14153,
4711367.1,6VTRX01,SKY58261+REV1,2024/03/10 19:10:22,2024/03/10 21:01:06,94.480%,14238,
4711367.2,6VTRX01,SKY58261+REV1,2024/03/10 21:04:17,2024/03/10 21:30:52,48.342%,784,
4711369.1,6VTRX01,SKY58261+REV1,2024/03/28 00:35:41,2024/03/28 02:31:49,96.335%,14270,
4711369.2,6VTRX01,SKY58261+REV1,2024/03/28 02:32:38,2024/03/28 02:55:13,64.368%,522,
4711371.1,6VTRX01,SKY58261+REV1,2024/03/06 10:16:03,2024/03/06 12:51:45,93.834%,14499,
4711371.2,6VTRX01,SKY58261+REV1,2024/03/06 12:54:55,2024/03/06 13:27:13,90.000%,380,
4711714.1,6VTRX01,SKY58083+REV11,2024/03/05 14:10:11,2024/03/05 15:05:33,97.877%,10362,
4711724.1,6VTRX01,SKY58261+REV1,2024/03/06 21:30:17,2024/03/06 22:51:06,95.205%,6841,
4711724.2,6VTRX01,SKY58261+REV1,2024/03/06 22:51:34,2024/03/06 23:51:43,95.246%,7573,
4711725.1,6VTRX01,SKY58261+REV1,2024/03/06 00:42:18,2024/03/06 04:12:51,94.183%,13323,
4711725.2,6VTRX01,SKY58261+REV1,2024/03/06 04:13:27,2024/03/06 05:10:10,69.507%,1197,
4712377.1,6VTRX01,SKY58083+REV11,2024/03/05 05:51:22,2024/03/05 07:00:37,97.349%,10449,
4712394.1,6VTRX01,SKY58261+REV1,2024/03/29 04:29:14,2024/03/29 07:11:13,95.513%,13885,
4712394.2,6VTRX01,SKY58261+REV1,2024/03/29 07:15:33,2024/03/29 07:37:30,77.316%,626,
4712397.1,6VTRX01,SKY58261+REV1,2024/03/24 11:19:13,2024/03/24 13:12:23,96.235%,13387,
4713783.1,6VTRX01,SKY58083+REV11,2024/03/03 04:40:32,2024/03/03 06:42:34,97.656%,10537,
4713785.1,6VTRX01,SKY58083+REV11,2024/03/05 11:01:32,2024/03/05 12:01:32,98.032%,10569,
4714104.1,6VTRX01,SKY58261+REV1,2024/03/10 06:45:03,2024/03/10 08:46:55,95.070%,14321,
4714105.1,6VTRX01,SKY58261+REV1,2024/03/07 11:00:51,2024/03/07 13:40:20,94.384%,14333,
4714105.2,6VTRX01,SKY58261+REV1,2024/03/07 13:42:49,2024/03/07 14:10:47,65.714%,805,
4714386.1,6VTRX01,SKY58083+REV11,2024/03/01 14:40:51,2024/03/01 15:20:37,98.243%,5237,
4714387.1,6VTRX01,SKY58083+REV11,2024/03/01 12:27:01,2024/03/01 13:08:08,97.223%,5257,
4714389.1,6VTRX01,SKY58083+REV11,2024/03/02 10:39:12,2024/03/02 12:13:20,63.818%,5395,
4714389.2,6VTRX01,SKY58083+REV11,2024/03/02 12:14:36,2024/03/02 12:36:25,97.131%,1952,
4714444.1,6VTRX01,SKY58083+REV11,2024/03/04 02:09:21,2024/03/04 02:57:18,97.657%,7555,
4714445.1,6VTRX01,SKY58083+REV11,2024/03/03 00:39:29,2024/03/03 01:40:04,98.546%,9563,
4714446.1,6VTRX01,SKY58083+REV11,2024/03/02 07:43:03,2024/03/02 10:23:33,98.014%,10270,
4714840.1,6VTRX01,SKY58083+REV11,2024/03/02 12:44:03,2024/03/02 13:51:08,97.237%,10494,
4714841.1,6VTRX01,SKY58083+REV11,2024/03/01 17:37:27,2024/03/01 18:54:07,97.541%,10491,
4714841.2,6VTRX01,SKY58083+REV11,2024/03/01 18:58:30,2024/03/01 19:11:31,80.233%,258,
4714847.1,6VTRX01,SKY58261+REV1,2024/03/08 06:57:27,2024/03/08 08:58:01,88.093%,9280,
4714847.2,6VTRX01,SKY58261+REV1,2024/03/08 09:05:15,2024/03/08 09:37:02,81.465%,1106,
4714849.1,6VTRX01,SKY58261+REV1,2024/03/25 23:39:38,2024/03/26 00:49:45,96.958%,8547,
4714850.1,6VTRX01,SKY58261+REV1,2024/03/11 09:05:39,2024/03/11 10:12:18,99.297%,12234,
4715305.1,6VTRX01,SKY58261+REV1,2024/03/09 17:47:11,2024/03/09 19:46:59,96.431%,12747,
